"SRR5311879" "SRR5311880" "SRR5311881" "SRR5311882" "SRR5311883" "SRR5311884"
"FBgn0013687" 0 0 0 0 0 0
"FBtr0005088" 0 0 0 0 0 0
"FBtr0006151" 1.66230397646527 1.88312872867546 0 3.42938754867948 3.40770400290873 0
"FBtr0070000" 0 0 0 0.324799480490274 0 0
"FBtr0070002" 52.623863816897 44.2100263895754 41.4716615784559 60.9409045884398 55.5339596419051 50.6083285391442
"FBtr0070003" 0 0 0.140332471875264 0 0.068504143532468 0.0744311974364112
"FBtr0070006" 91.542197013972 77.6039851535255 99.2141049039561 74.5736125929159 73.955947112566 51.8745351022528
"FBtr0070007" 47.8395443230531 50.1942941130458 48.7203360322592 47.8247021351992 53.4555064342519 41.6626095157385
"FBtr0070008" 19.2781436824684 21.1714262062553 17.9661811087382 17.9975764687668 15.9841992306299 16.6534627955934
"FBtr0070025" 44.5923174813535 50.2889150603053 43.3166534588121 38.3436115802134 41.8146107652592 32.840699778269
"FBtr0070026" 23.0089839500436 22.3650607311411 20.1639564247553 25.7031584225706 26.4230656471882 19.5270519043393
"FBtr0070027" 7.7473822463286 8.73169183709515 6.01534363040424 4.39572060280206 6.24169419285899 4.17685777165147
"FBtr0070028" 0.771514223433504 1.44247441579345 2.03819085747009 1.4344719232582 1.61584185555311 1.140332155104
"FBtr0070029" 0 0.196619370947098 0 0.0671726514678542 0.137008287064936 0
"FBtr0070032" 0 0.0813640779926548 0 0 0.085012647631034 0.0925336623041687
"FBtr0070034" 0 0.424170836882903 0.54536448122513 0.274449193075912 0.262865350317897 0.36006766635721
"FBtr0070035" 11.2975116575372 10.0065637588101 9.91133722730428 13.395359402345 12.0949085114378 11.2893549576016
"FBtr0070036" 5.48556276322465 6.66568163200479 8.58872392092296 26.5146890609409 17.2082052691123 15.426528234076
"FBtr0070038" 48.6442201980743 52.2966265494143 47.0043465031221 46.590349773807 45.4251286856388 56.7881950750763
"FBtr0070040" 106.42713382858 139.472939671826 140.182121878326 85.2712332674763 86.7630152450278 139.74796486808
"FBtr0070041" 3031.20667566146 2890.20036944905 3520.47512653357 2922.75709405867 2994.45150479144 2996.45785008001
"FBtr0070042" 86.1083067840113 117.343732747981 72.067442061095 79.136775378469 61.7648452749435 77.5543646584652
"FBtr0070043" 19.9192120198627 28.3382152218511 10.053042613827 19.6125051761779 14.8261013035305 23.1133650610034
"FBtr0070044" 25.3000297740163 18.6029318754096 20.0349354675471 27.2784526319715 29.0282490269108 41.7363426998057
"FBtr0070045" 35.9061003637983 40.8311041961246 32.4129379500351 30.5517522005909 31.1939384341891 40.8673377096594
"FBtr0070046" 26.130815777915 29.7880537547468 25.0617747569031 13.2162582870022 13.0966268550403 18.049038466719
"FBtr0070050" 0.00748827576805967 0 0.0107071856560603 0 0 0
"FBtr0070051" 3.01950514273718 2.7498965505317 2.99704289735274 12.0670764160756 12.5238190441742 11.1955014114623
"FBtr0070052" 14.4464250925318 44.606364401035 37.8409740573416 22.1205661464566 21.8292481121168 28.4488698370123
"FBtr0070053" 0 0.0885883772847442 0 0 0 0.0948702758697013
"FBtr0070054" 3.01950514273718 2.7498965505317 2.99704289735274 12.0670764160756 12.5238190441742 11.1955014114623
"FBtr0070055" 22.4870173935276 10.7400114090255 9.14157778427773 5.28263092811873 5.32573355643983 7.616477577162
"FBtr0070056" 54.0448342715835 47.2239293551187 44.186519934474 45.4007812694215 40.1736345378549 33.5253811337861
"FBtr0070057" 0.124287851696018 0 0.137306423581822 0 0 0.13735493739118
"FBtr0070058" 79.6652661497127 91.7915833906375 78.5121729755618 0 0 0
"FBtr0070059" 1.32012202546179 1.60748509485433 2.03758310259299 0 0 0
"FBtr0070060" 0.865274288867692 0.877012122368387 1.92616181444159 64.2507011903931 67.7328879933582 56.0302653434769
"FBtr0070061" 1.50268525990778 0.254639095995296 0.826593526631592 3.48858816300973 3.56879936050174 3.23929470798736
"FBtr0070062" 11.5265722837482 9.78130652788464 11.3617583067969 36.364328247123 33.2964772127144 33.9678021713436
"FBtr0070063" 17.8117358629138 21.5628837186224 14.9286480628699 18.5380313809492 18.5380122928593 19.6670540502343
"FBtr0070064" 19.0887991538801 16.6476409527625 13.8954340497905 19.9686451034789 17.246040174595 15.7690941522774
"FBtr0070065" 10.3753324070722 15.4171708062914 12.9665868961211 9.03034091605736 10.3752419523808 13.6764314231999
"FBtr0070066" 0.17330031908243 4.51969155575172 7.91028253822154 4.20469227588463 0.0021730280438756 3.17330677444429
"FBtr0070067" 2.9364867851382 4.52934848707412 5.5676277473819 2.65172498097036e-09 0.0527998438900101 5.30637379970793
"FBtr0070068" 5.31280234716249 1.34749334914948 3.66398551571834 1.3515997573671 6.34758134951187 1.54782368338095
"FBtr0070069" 141.222851933502 124.014142760207 112.295821867058 140.625013676296 133.005626087984 139.851803750362
"FBtr0070070" 0.517288178976021 0.255638701532769 0.478945527609874 0.39301266953823 0.400817098351569 0.580554557359153
"FBtr0070071" 7.48257173377337 5.98020766002324 10.9850365696251 6.75642375910339 8.56551818601779 10.8126393820332
"FBtr0070072" 0.36011967646489 0.0888668937557666 0 0.546470536205587 0.185673703409842 0
"FBtr0070073" 0.205279889585519 0.0507588329732272 0.108680015585723 0.052024793268305 0.0530730225921624 0
"FBtr0070074" 1.14270454883944 0.423386287679875 0.0755464029365928 0.650896075320064 0.884967787054453 0
"FBtr0070075" 0.395053524909309 0.307374486542834 0 0.486900495419589 0.350792927793398 0.0316273259015164
"FBtr0070076" 0 0 0 0 0 0
"FBtr0070077" 4.4324551493879 1.73715546451013 2.4351347824022 0 0 0
"FBtr0070078" 12.1713620706628 8.93722938684839 7.72727872386959 8.65922018026968 12.5130689708917 11.9575502264618
"FBtr0070079" 12.6205831432939 14.3278001868996 14.0623204068127 14.2388790984995 12.9820574438119 12.3694747665559
"FBtr0070080" 4.462696999276 4.95587865754072 5.01926279293035 3.24512125289538 3.95917522922232 4.46695937190723
"FBtr0070081" 0 4.39353981920326e-07 1.33952120035107e-08 0 6.15281585324882e-10 0
"FBtr0070084" 0 2.29102670327175e-06 5.2184698823079e-08 0 1.97356882891784e-09 0
"FBtr0070085" 0 2.20905166933799e-09 0 0 0 0
"FBtr0070086" 0 0 0 0 0 0
"FBtr0070087" 5.028778955959 3.57411802299234 4.88665712479781 3.97859444602108 5.20920532986617 2.75592017689036
"FBtr0070088" 13.8650695606602 13.6333803591787 15.9800506132811 23.5474328631033 25.4484458078953 25.8045645436121
"FBtr0070089" 4.75298936365671 4.68968958050998 3.55295920040796 4.98726541709436 3.48401161376847 5.10034446869987
"FBtr0070090" 2.33405401141325 4.12981361190328 3.77018712198266 2.89842876064494 2.61611205434482 2.91444224492258
"FBtr0070091" 0 3.62792348885519e-09 0 0 0 0
